iter	Passed	Remaining
935	1614	110
936	1616	108
937	1618	106
938	1619	105
939	1621	103
940	1623	101
941	1624	100
942	1626	98
943	1628	96
944	1629	94
945	1631	93
946	1633	91
947	1634	89
948	1636	87
949	1638	86
950	1639	84
951	1641	82
952	1643	81
953	1644	79
954	1646	77
955	1648	75
956	1649	74
957	1651	72
958	1653	70
959	1654	68
960	1656	67
961	1658	65
962	1659	63
963	1661	62
964	1663	60
965	1664	58
966	1666	56
967	1668	55
968	1670	53
969	1671	51
970	1673	49
971	1675	48
972	1677	46
973	1678	44
974	1680	43
975	1682	41
976	1683	39
977	1685	37
978	1687	36
979	1688	34
980	1690	32
981	1692	31
982	1693	29
983	1695	27
984	1697	25
985	1698	24
986	1700	22
987	1702	20
988	1703	18
989	1705	17
990	1707	15
991	1708	13
992	1710	12
993	1712	10
994	1713	8
995	1715	6
996	1716	5
997	1718	3
998	1720	1
999	1721	0
